"Year","DEPTH_STRATUM","SPATIAL_STRATUM","sets"
2008,"RD1","S1",6
2008,"RD1","S2",6
2008,"RD1","S3",6
2008,"RD1","S4",6
2008,"RD1","S5",6
2008,"RD2","S1",6
2008,"RD2","S2",6
2008,"RD2","S3",6
2008,"RD2","S4",6
2008,"RD2","S5",6
2008,"RD3","S1",6
2008,"RD3","S2",6
2008,"RD3","S3",6
2008,"RD3","S4",6
2008,"RD3","S5",6
2009,"RD1","S1",6
2009,"RD1","S2",6
2009,"RD1","S3",6
2009,"RD1","S4",6
2009,"RD1","S5",6
2009,"RD2","S1",6
2009,"RD2","S2",6
2009,"RD2","S3",6
2009,"RD2","S4",6
2009,"RD2","S5",6
2009,"RD3","S1",6
2009,"RD3","S2",6
2009,"RD3","S3",6
2009,"RD3","S4",6
2009,"RD3","S5",6
