"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2009,69067,"Sablefish","ANOPLOPOMA FIMBRIA",,7802,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Pectoral rattail","ALBATROSSIA PECTORALIS",,103,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Lingcod","OPHIODON ELONGATUS",,94,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Pacific grenadier","CORYPHAENOIDES ACROLEPIS",,49,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Spiny dogfish","SQUALUS ACANTHIAS",,41,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Pacific sleeper shark","SOMNIOSUS PACIFICUS",,31,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Pacific flatnose","ANTIMORA MICROLEPIS",,1,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Black hagfish","EPTATRETUS DEANI",,1,"OFFSHORE STANDARDIZED"
5,"Roundfish Species",2009,69067,"Pink snailfish","PARALIPARIS ROSACEUS",1,,"OFFSHORE STANDARDIZED"
4,"Rockfish Species",2009,69067,"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",,413,"OFFSHORE STANDARDIZED"
4,"Rockfish Species",2009,69067,"Shortraker rockfish","SEBASTES BOREALIS",,26,"OFFSHORE STANDARDIZED"
4,"Rockfish Species",2009,69067,"Redbanded rockfish","SEBASTES BABCOCKI",,17,"OFFSHORE STANDARDIZED"
4,"Rockfish Species",2009,69067,"Shortspine thornyhead","SEBASTOLOBUS ALASCANUS",,13,"OFFSHORE STANDARDIZED"
4,"Rockfish Species",2009,69067,"Rosethorn rockfish","SEBASTES HELVOMACULATUS",1,,"OFFSHORE STANDARDIZED"
4,"Rockfish Species",2009,69067,"Longspine thornyhead","SEBASTOLOBUS ALTIVELIS",1,,"OFFSHORE STANDARDIZED"
3,"Flatfish Species",2009,69067,"Arrowtooth flounder","ATHERESTHES STOMIAS",,1052,"OFFSHORE STANDARDIZED"
3,"Flatfish Species",2009,69067,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,477,"OFFSHORE STANDARDIZED"
3,"Flatfish Species",2009,69067,"Dover sole","MICROSTOMUS PACIFICUS",,46,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Grooved Tanner Crab","CHIONOECETES TANNERI",,37,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Red Queen Crab","LITHODES COUESI",,11,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"ALLOCENTROTUS FRAGILIS",,4,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Oregontriton","FUSITRITON OREGONENSIS",,3,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"NEPTUNEIDAE",,2,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"RATHBUNASTER CALIFORNICUS",,1,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Brown king crab","PARALITHODES BREVIPES",,1,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"HETEROZONIAS ALTERNATUS",,1,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Octopus","OCTOPUS",,1,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"ELASIPODIDA",15,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"MEDIASTER TENELLUS",13,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Mud star","CTENODISCUS CRISPATUS",13,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Brittle stars","OPHIURAE",12,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"AMPHIOPHIURA SUPERBA",8,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Heart urchins","ATELOSTOMATA",6,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Sea lilies and feather stars","CRINODEA",6,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Rose starfish","CROSSASTER PAPPOSUS",3,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"AMPHIOPHIURA PONDEROSA",3,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,,"OPHIACANTHA",2,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Sea cucumber","HOLOTHUROIDEA",2,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Starfish","ASTERIODEA",2,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"True crabs","BRACYURA",1,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Sponges","PORIFERA",1,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Squat lobster","MUNIDA QUADRISPINA",1,,"OFFSHORE STANDARDIZED"
2,"Invertebrate Species",2009,69067,"Proboscisworm","NEMERTINA",1,,"OFFSHORE STANDARDIZED"
