"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD2","Oct  9 ","14:16",1389,"3C        ",48,2.5,125,48.8,48,1.8,125,49,549,708,628,25,"x",,,
"S1",2,"StRS","RD2","Oct  9 ","15:33",1424,"3C        ",48,2.9,125,55.4,48,2.6,125,56,627,742,714,25,"x",,,
"Barkley Canyon",3,"StRS","D5","Oct  9 ","17:11",1468,"3C        ",48,6.3,126,3.2,48,5.7,126,3.7,1022,1099,1157,25,"x",,,
"Barkley Canyon",4,"StRS","D3","Oct  9 ","19:40",1428,"3C        ",48,1,125,57.5,48,0.9,125,58.5,669,786,744,25,"x",,,
"S1",5,"StRS","RD2","Oct  9 ","21:32",1445,"3C        ",48,9.9,126,9.6,48,9.2,126,10.3,671,697,678,25,"x",,,
"Barkley Canyon",6,"StRS","D4","Oct 10 ","09:22",1390,"3C        ",48,8.9,126,2.9,48,9.2,126,2,999,880,920,25,"x",,,
"S1",7,"StRS","RD1","Oct 10 ","10:16",1419,"3C        ",48,3.1,126,1.4,48,3.9,126,1.6,355,212,267,25,"x",,,
"Barkley Canyon",8,"StRS","D1","Oct 11 ","06:32",1423,"3C        ",48,0.7,125,54.2,48,0.9,125,55.3,320,481,379,25,"x",,,
"Barkley Canyon",9,"StRS","D2","Oct 11 ","07:20",1452,"3C        ",48,8.7,125,57.8,48,8.7,125,58.9,461,549,509,25,"x",,,
"S1",10,"StRS","RD1","Oct 11 ","12:12",1343,"3C        ",48,6.4,126,9.6,48,6.9,126,11.3,373,373,307,25,"x",,,
"S1",11,"StRS","RD1","Oct 11 ","13:25",1373,"3C        ",48,3.3,126,17.2,48,4,126,17.4,461,333,382,25,"x",,,
"S1",12,"StRS","RD1","Oct 11 ","14:36",1361,"3C        ",48,4.3,126,17.7,48,4.9,126,17.7,377,219,285,24,"x",,,
"S1",13,"StRS","RD2","Oct 11 ","16:07",1359,"3C        ",48,0.3,126,21.3,48,0.6,126,22.3,582,673,628,25,"x",,,
"S1",14,"StRS","RD3","Oct 11 ","18:04",1416,"3C        ",48,7,126,38.5,48,6.6,126,38.6,1344,1346,1346,25,"x",,,
"S1",15,"StRS","RD3","Oct 11 ","20:18",1450,"3C        ",48,4.9,126,46.3,48,5.5,126,46.3,1375,1381,1379,25,"x",,,
"S1",16,"StRS","RD3","Oct 12 ","22:34",1345,"3C        ",48,2.7,126,49.3,48,3.5,126,49.4,1123,1088,1104,25,"x",,,
"S1",17,"StRS","RD1","Oct 13 ","07:45",1365,"3C        ",48,7.3,126,23.7,48,6.7,126,23.9,243,283,260,25,,,,
"S1",18,"StRS","RD1","Oct 13 ","08:58",1409,"3C        ",48,7.9,126,34.7,48,7.9,126,35.9,402,455,427,24,"x",,,
"S1",19,"StRS","RD2","Oct 13 ","10:09",1470,"3C        ",48,4.1,126,38.6,48,4.2,126,39.8,578,688,625,25,"x",,,
"S1",20,"StRS","RD3","Oct 13 ","11:17",1512,"3C        ",48,1.1,126,40.2,48,1,126,41.2,894,1013,970,25,"x",,,
"S1",21,"StRS","RD3","Oct 13 ","13:00",1584,"3C        ",48,7.2,126,52.6,48,6.7,126,53.1,1403,1401,1400,25,"x",,,
"S1",22,"StRS","RD3","Oct 13 ","15:10",1677,"3D        ",49,0,127,2.9,49,0.8,127,3.3,1346,1298,1339,24,"x",,,
"S1",23,"StRS","RD2","Oct 13 ","16:32",1718,"3D        ",49,0.8,126,59.3,49,0.9,126,58.2,605,521,557,25,"x",,,
"Esperanza ",24,"StRS","D3","Oct 15 ","12:40",1501,"3D        ",49,0.1,127,33.4,49,9.5,127,32.9,686,777,739,25,"x",,,
"Esperanza ",25,"StRS","D4","Oct 15 ","14:29",1511,"3D        ",49,5.3,127,27.2,49,4.7,127,27.1,863,927,899,25,"x",,,
"Esperanza ",26,"StRS","D5","Oct 15 ","15:36",1547,"3D        ",49,2.2,127,24.9,49,1.5,127,25,1019,1119,1062,25,"x",,,
"S2",27,"StRS","RD2","Oct 15 ","16:55",1561,"3D        ",49,9.6,127,25,49,9.3,127,25.9,790,807,806,25,"x",,,
"S2",28,"StRS","RD3","Oct 15 ","18:20",1593,"3D        ",49,5.3,127,30.2,49,4.6,127,30.6,1189,1222,1209,25,"x",,,
"S2",29,"StRS","RD2","Oct 15 ","21:28",1550,"3D        ",49,5.8,127,16.4,49,5.8,127,15.6,649,549,603,24,"x",,,
"S2",30,"StRS","RD2","Oct 16 ","05:52",1506,"3D        ",49,9,127,48.1,49,8.2,127,48.4,463,651,516,23,,,,
"S2",31,"StRS","RD2","Oct 16 ","07:07",1509,"3D        ",49,5.5,127,49.5,49,5,127,50.4,433,691,572,25,"x",,,
"S2",32,"StRS","RD3","Oct 16 ","09:54",1518,"3D        ",49,3.8,127,49.7,49,2.9,127,49.6,1463,1130,1167,26,,,,
"S2",33,"StRS","RD2","Oct 16 ","11:07",1553,"3D        ",49,6.1,127,44.1,49,6.1,127,43,587,558,627,25,"x",,,
"Esperanza ",34,"StRS","D2","Oct 16 ","11:59",1591,"3D        ",49,4.8,127,38.3,49,4.2,127,38.4,483,605,539,25,"x",,,
"Esperanza ",35,"StRS","D1","Oct 16 ","12:47",1611,"3D        ",49,3,127,33.8,49,2.3,127,34,304,411,350,25,"x",,,
"S2",36,"StRS","RD2","Oct 17 ","21:21",1432,"3D        ",50,0.4,128,10.7,50,0.7,128,12,726,1158,912,25,"x",,,
"S2",37,"StRS","RD3","Oct 18 ","07:03",1401,"3D        ",50,3.5,128,10.4,50,4.2,128,11,953,1130,1068,25,"x",,,
"Quatsino Sound",38,"StRS","D3","Oct 18 ","08:08",1436,"3D        ",50,6.7,128,15.1,50,6.2,128,15.8,636,821,748,25,"x",,,
"S2",39,"StRS","RD1","Oct 18 ","09:43",1430,"3D        ",50,0.2,128,13,50,9.9,128,15.1,181,190,186,25,"x",,,
"Quatsino Sound",40,"StRS","D1","Oct 18 ","11:08",1403,"3D        ",50,9.2,128,18.3,50,8.9,128,19.2,300,439,365,25,"x",,,
"Quatsino Sound",41,"StRS","D5","Oct 18 ","13:48",1335,"3D        ",50,7.9,128,22.7,50,7.6,128,23.7,1011,1172,1109,25,"x",,,
"Quatsino Sound",42,"StRS","D4","Oct 18 ","15:58",1345,"3D        ",50,8.5,128,24.7,50,8.7,128,25.7,838,993,927,25,"x",,,
"Quatsino Sound",43,"StRS","D2","Oct 18 ","17:09",1495,"3D        ",50,0.2,128,25.7,50,0.1,128,26.8,459,534,486,25,"x",,,
"S2",44,"StRS","RD3","Oct 18 ","18:11",1519,"3D        ",50,0.7,128,28.9,50,0.7,128,30.2,836,967,856,25,"x",,,
"S2",45,"StRS","RD1","Oct 19 ","16:27",1372,"3D        ",50,4.4,128,23.9,50,4.5,128,24.9,203,207,204,25,"x",,,
"S2",46,"StRS","RD1","Oct 19 ","17:16",1388,"3D        ",50,4,128,25.6,50,3.6,128,26.2,212,214,213,25,"x",,,
"S2",47,"StRS","RD1","Oct 19 ","21:20",1329,"3D        ",50,4.2,128,22.1,50,4.2,128,23.3,196,199,198,25,"x",,,
"S2",48,"StRS","RD3","Oct 20 ","07:15",1424,"5A        ",50,7.9,128,55,50,8.3,128,57.4,993,1170,1076,25,"x",,,
"S2",49,"StRS","RD3","Oct 20 ","09:56",1463,"5A        ",50,1.3,128,40.1,50,1.7,128,39.1,1057,960,967,25,"x",,,
"S2",50,"StRS","RD1","Oct 20 ","11:23",1473,"5A        ",50,2.9,128,35,50,3.3,128,34,199,188,195,25,"x",,,
