"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
69067,1,"D","A","T",,"A",,,,"T","A","A","T","A","A","T","A","A","T","A","A","T","A","A","T","A",,
69067,2,"T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T",,
69067,3,"A","A","A","A","A","A",,"A","A","A",,,,"A","A",,,,,,"A",,,"A","A",,
69067,4,"A","A","A",,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A",,,"A","A","A","A",,
69067,5,"T","D","A","T","D","A","T","D","A","T","D","A","T","A","D","T","D","A","T","D","D","T,F","D","D","T",,
69067,6,"A","A",,"A","A",,"A","A",,,"A",,"A","A",,"A",,"A","A","A","A","A","A","A","A",,
69067,7,,"A","D","T","D","A","T","D","A","T","D","A",,"D",,"T","D","A","T","D","A","T","D","A",,,
69067,8,"A,F","A","A","A",,"D,F","A","A","A",,"A","A","A",,"A",,"A",,"A",,"A",,"A",,"A",,
69067,9,"A",,"A","B","B","A","B","D",,"A",,"B","A","B","A",,"A","B","A",,,"B","D","B",,,
69067,10,"T","D","A",,"D","A","T","D","A",,"A",,"T","D","A","A","T",,"A",,"A","D","T","A","D",,
69067,11,"D","A","T","D","D","T","D","A","T","D","D","T","D","A","T","D","A","T","D","D","T","D","D","T","D",,
69067,12,"T","D","A","T","D",,"T","D","A","T","D","A","T","D","","T","A",,"T","A",,"T","A","D",,,
69067,13,"A","T","D","A","T","D","D","T","A","D","T","D","D","T","D","D","T","D","A","T","D","D","T","A,F","D,F",,
69067,14,"T","A","A","T",,,,"A",,"T","A",,"T",,"A","T","A",,,,"A",,,,"T",,
69067,15,"T","A","A",,,,"T","A",,,"A",,,,"A","T",,"A","T",,"A",,"A","A","T",,
69067,16,,"T","A","A",,"A","A","T","D","A","T","D","A","T","D","D","T","D","A","T","D","D","T","D","A",,
69067,17,"T","D","A","T","D","A","T","D","D","T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T",,
69067,18,"A","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","A","T","D","D","T","D",,,
69067,19,"T","D","A","T","D","A","T","D",,"T","A","A",,"A",,"T","A","A","T","A","A","T","D","D","T",,
69067,20,"T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","D","T","A","D","T",,
69067,21,"A",,,"A","A",,,"A",,,"A",,"A",,,,"A",,"A","A",,,"A",,,,
69067,22,"T",,"A",,"A","A",,,"A",,"A","A",,"A","A",,"A",,,,"A","T","A","A",,,
69067,23,"A","T","D","A","T","D","D","T","D","D","T","A","D","T","D","D","T","A","D","T","A","D","T","D","D",,
69067,24,,,"A",,"A",,"A",,"A","A","A",,,"A","A",,"A",,"A",,,,,,,,
69067,25,,,,,,,,,,"A","A",,,,"A",,,"A","A",,"A","A","A",,,,
69067,26,,,"A",,,"A","A","A","A;","A","A","A","A","A","A",,"A",,,"A","A",,,,,,
69067,27,,"A","A",,,"A","T","D",,"T","A","A","T","A","A","T",,"D","T",,,"T","D",,,,
69067,28,"A",,"A",,"T",,,,"A",,"T","A",,,,"A","T","A","A","T",,"A","T","A","A",,
69067,29,"A","A","T","D,F","A,F","T","A,F","A","T,F","D","A,F","T,F","D,F","A","T,F","D,F","A,F","T","D,F","D,F","D,F","D,F","D,F","T,F",,,
69067,30,"T","D","A","T,F",,"A","T","A",,,"A,F","A","T,F","A","A,F","T,F","A","A","T,F","D","A","T,F",,,,,
69067,31,,,"T","A","A",,"A","A","T","A","D","T,F","D","A","T","D","A","T","A","D","T","D,F","D","T",,,
69067,32,"T","A",,,,,"T",,,,,"A","T","A","A","T","A","A","T","A","A","T","D","D","T","D",
69067,33,,,"A","A","T","D","A","T","D","D","T","D","D","T","D,F","A","T","D","A","T","D","A",,,,,
69067,34,,"A","A",,"A","A","A","A","B","B","D","A","B","D","A","A","A",,"A","A","A","A",,"B","B",,
69067,35,,"A","A","A","A",,,,,,,,"A","A",,,,"A",,,,,"A",,"A",,
69067,36,,,,"A",,,"A","T","D","A",,"D","D",,"D",,,"D","D",,"D","A","T","D","D",,
69067,37,"T","D","A","T","D","A","T","D","A",,"D","A","T","D","D","T","D","A","T","D","D","T","D","D","T",,
69067,38,,"A",,"A",,"A","A","A","B","B","A","A",,"A",,"A",,"A","A","A","A",,"A","B","B",,
69067,39,,"A",,,,,,,,,"A",,,,"T",,,,,,"T",,,,,,
69067,40,,,"A","A",,"A","A","A","A",,"A",,,"A","A","A",,"A","A","A",,,,,,,
69067,41,,,,"A",,"A","A",,"A",,,"A",,"A",,,"A",,,"A",,"A",,,,,
69067,42,,,,,,,,,,"A",,,,"A",,,"A",,"A","A",,,"A","A","A",,
69067,43,"A","A","A","A","A",,"A",,,,,"A","A",,"A","A","A","A",,,,"A","A","A","A",,
69067,44,"T","A","A","T","D","A",,"A","A","T","D","A","T",,"D","T","D","A","T","D","D","T","D","D","T",,
69067,45,"T","A","A","T","A","A",,"D","A","T",,"A","T",,,,"A",,,"A",,"T",,"A",,,
69067,46,"A","T","A","A","T","A","A","T","A",,"T","A","A","T",,"A",,"A","A",,"A","A","T","A","A",,
69067,47,"T","A","A","T",,,"T","A",,,,"A","T","A",,,,,"T",,"A",,,,,,
69067,48,,,,,"T","A","A","T","A","A","T",,"A",,,"A","T","A","A","T",,,"T",,"A",,
69067,49,"A","T","D","A","T","D","A","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D",,
69067,50,,"A",,,"A","A",,,"A",,,,"T",,,"T","A","A",,,,,,,,,
69067,51,"A","A","A",,"A",,,,"T","A",,"T","A",,"T",,"A","T",,,,,"A",,"A",,
69067,52,"T","A","A","T","D","A","T","D","D","T","D","D","T","D","D","T","D","A","T","D","A","T","D","D","T",,
69067,53,,,,"A",,,,"A",,,,,"A","A","A",,"A",,,"A",,"A","A","A","A",,
69067,54,"A",,"B","A",,"A",,"A","A","B","B","B",,"A","B","B","A","B","A","B","A","A",,"B","B",,
69067,55,"A","A","A","A","A","A","A","A","A","A","D","A","D",,,,,,,,,,,,"A",,
69067,56,,"T",,"A","T","A","A","T","D","A","T","A","D","T","D","D","T","A","D","T",,"D","T","D","D",,
69067,57,,,"A","T",,"A",,,"A","T","A",,"T",,,"T","A","A",,"A",,"T","A","A","T",,
69067,58,,"T",,,,,"A",,,,"T","A",,"T",,,"T",,,"T",,,,,"A",,
69067,59,,"A",,"A",,,,,"A","A","A","A","A","A","A","A","A","B",,"A","B","B","B","B","B",,
69067,60,,"A","A","A","A","A",,,,,"A",,,"A","A","A","A","A",,"A","A",,"A",,,,
69067,61,"A","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","A","T",,"A","T","D","A","T","A",,
69067,62,"T","A",,,"A","A","T","A","A","T","A",,,,,"T","A","A","T","A","A","T","A","A","T",,
69067,63,"A","T","A","A","T","A","A","T","D","A","T","D","D","T","A","D","T","D","D","T","D","A","T","D","D",,
69067,64,"T","D","A","T","D","D","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T","D","D","T",,
69067,65,"T","A","A","T","A","A","T","A","A",,"A","A","T","A","A","T",,"A","T","A","A","T","A",,"T",,
69067,66,"A","T","D","D","T","A","D","T","D","D","T","D","D","T","A","D","T","D","D","T","D","D","T",,"D",,
69067,67,"T","A","A","T","A","A","T","D","D",,"A","A",,"D","A","T",,"A","T","A","A",,"D",,"T",,
69067,68,"A","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D","A",,"D","D","T","A","D",,
69067,69,"D","A","T","D",,"T",,"A","T","A","A",,,"A","T","A","A","T","D","A","T","D","D","T","D",,
69067,70,,,"A","T","A","A","T","A","A","T","A","A","T","A","A","T","D",,"T",,"A","T","A","A","T",,
69067,71,"D","A","T","D","D","T","A","D","T","D","D","T","A","D","T","D","D","T","D",,"T","D","D","T","D",,
69067,72,"T","A",,"T","A","D","T",,"D",,"A","A","T","D","A","T","A","A","T","D","A","T","D","D","T",,
69067,73,"A","A","A","A","A","A","A",,"A",,"A",,"A","A",,,,,,,"A","A",,"A","A",,
69067,74,"T","A","A","T","A","D","T","D","D","T","D","A","T","D","D","T","D","A","T","D","A","T","D","D","T",,
69067,75,"T","A","D","T","D","A","T","A","D","T","D","D","T","A","D","T","D","D","T","D","D","T","D","D","T",,
69067,76,,"T","A","A","T",,,"T","A","A","T","A","A","T","A","A","T","D","D","T","D","D","T","D",,,
69067,77,"A",,"A","A",,"A","A","A","A","A","B","A","B","A","B","B","A","B","A","B","B",,"B","B","B",,
69067,78,"A","A","A","A","A","A","A","A","A","A","A","A","A","B","A","B","B","A","B","B","A","A",,"A","A",,
69067,79,"A",,"A","A","A","A",,"A","A","A","A","B","B","B","B","B",,"B","B","B",,,"B",,,,
69067,80,"A","A","B","B","A","D","B","D","A","D","B","D","A","B",,"A","A","B","A","D","B",,"D","A","B",,
