"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,454,230,0,0,63,63,582,57,57,56,57,57,57,0.91,563,601
2,154,28,0,0,13,13,785,15,15,15,15,15,15,0,0,789
3,456,149,1,0,34,35,643,54,54,54,54,54,54,0.57,633,667
4,651,279,1,0,91,92,606,60,59,59,60,60,60,0.78,585,656
5,1371,576,4,0,241,245,612,49,49,49,49,49,49,0.9,589,638
6,243,99,0,0,0,0,,98,98,98,51,51,98,0.77,607,671
7,275,94,2,0,0,2,732,92,92,92,54,54,92,0.4,596,668
8,310,135,1,1,0,2,680,133,133,133,61,61,133,0.45,559,632
9,182,58,0,0,0,0,,58,58,58,58,58,58,0.5,627,688
10,456,165,0,0,0,0,,122,122,122,50,50,122,0.52,619,672
11,911,340,3,0,108,111,623,55,55,55,55,55,55,0.76,610,652
12,194,72,0,0,15,15,660,37,37,37,37,37,37,0.27,654,698
13,597,160,0,0,55,55,692,42,42,42,42,42,42,0.02,701,697
14,447,147,0,0,54,54,664,50,50,49,50,45,50,0.38,629,691
15,710,264,0,0,111,111,624,54,54,54,54,54,54,0.87,625,656
16,255,52,0,0,11,11,735,38,38,38,38,38,38,0,0,756
17,837,319,0,0,134,134,609,56,56,56,56,56,56,0.11,610,639
18,988,384,2,0,135,137,631,60,60,60,60,60,60,0.3,577,634
19,1280,471,0,0,146,146,633,59,59,59,59,59,59,0.27,595,638
20,590,276,0,0,109,109,585,60,60,60,60,60,60,0.68,549,622
21,905,378,1,0,107,107,598,62,62,62,62,62,62,0.81,583,655
22,639,269,1,0,78,79,595,48,48,48,48,48,48,0.71,586,635
23,249,77,0,1,20,21,696,31,31,30,31,30,31,0.23,656,714
24,399,163,0,0,53,53,626,50,50,48,50,47,50,0.76,611,714
25,529,134,0,0,52,52,708,53,53,53,53,53,53,0.08,638,703
26,547,154,1,0,48,49,672,48,48,48,48,48,48,0.31,614,706
27,147,68,4,0,0,4,567,64,64,64,48,48,64,0.7,579,637
28,221,67,0,0,0,0,,65,65,65,65,65,65,0.32,650,696
29,531,186,0,0,0,0,,125,125,125,52,52,125,0.44,592,701
30,1122,425,2,0,0,2,590,130,130,130,48,48,130,0.2,594,641
31,732,301,0,0,95,95,605,45,45,45,45,45,45,0.56,579,663
32,448,162,0,0,64,64,635,57,57,57,57,57,57,0.68,621,676
33,268,103,0,0,0,0,,103,103,103,53,53,103,0.66,607,661
34,1280,590,0,0,249,249,592,56,56,56,56,56,56,0.5,559,625
35,524,264,0,0,42,42,658,32,32,32,32,32,32,0.47,603,695
36,1728,574,0,0,187,187,649,44,44,44,44,44,44,0.34,616,695
37,1162,533,1,0,182,182,584,63,63,63,63,63,63,0.75,578,670
38,835,206,0,0,52,52,712,54,54,54,54,54,54,0.06,647,709
39,983,528,2,0,151,153,555,50,50,50,50,50,50,0.76,543,635
40,616,225,0,0,0,0,,140,140,140,58,58,140,0.41,593,687
41,139,53,2,0,0,2,557,51,51,51,51,51,51,0.55,585,684
42,179,64,0,0,0,0,,64,64,64,51,51,64,0.48,602,673
43,376,168,1,0,0,1,557,124,124,124,54,54,124,0.77,592,636
44,185,93,1,0,0,1,603,92,92,92,49,49,92,0.72,569,620
45,51,16,0,0,11,11,660,5,5,5,5,5,5,0.6,585,679
46,1513,491,1,0,150,149,649,46,46,46,46,46,46,0.5,617,677
47,544,148,0,0,64,64,696,50,50,50,50,50,50,0.62,642,747
48,1257,353,0,0,84,84,677,46,46,46,46,46,46,0.48,667,717
49,728,183,0,0,47,47,700,48,48,48,48,48,48,0.23,646,724
50,547,121,0,0,31,31,747,55,55,55,55,55,55,0.18,717,756
51,877,287,0,0,117,117,666,52,52,52,52,52,52,0.65,617,721
52,73,27,0,0,0,0,,26,27,27,27,27,27,0.67,622,675
53,378,137,2,0,0,2,589,130,130,130,53,53,130,0.56,614,676
54,343,107,0,0,0,0,,106,106,106,52,52,106,0.42,617,698
55,234,75,0,0,0,0,,75,75,75,48,48,75,0.47,623,691
56,858,252,3,0,69,72,673,55,55,55,55,55,55,0.13,627,684
57,575,153,1,0,25,26,749,54,54,54,54,54,54,0.2,613,716
58,66,15,0,0,0,0,,15,15,15,15,15,15,0.2,653,758
59,536,153,0,0,41,41,674,54,54,54,54,54,54,0.56,626,705
60,314,122,0,0,51,51,620,53,53,52,53,52,53,0.55,603,673
61,979,500,7,0,147,154,572,55,55,55,55,55,55,0.85,557,652
62,1162,619,3,0,208,210,566,62,62,62,62,62,62,0.73,544,600
63,832,310,0,0,95,95,634,54,55,55,55,55,55,0.64,597,678
64,652,196,0,0,71,71,663,53,53,53,53,53,53,0.4,620,682
65,450,78,0,0,27,27,822,51,51,51,51,51,51,0.02,785,793
66,268,77,0,0,27,27,695,46,46,46,46,46,46,0.04,643,695
67,1072,495,3,0,174,177,591,49,49,49,49,49,49,0.88,575,639
68,1083,382,3,0,143,146,645,55,55,55,55,6,55,0.58,620,674
69,34,9,0,0,0,0,,9,9,9,9,9,9,0.11,644,713
70,381,135,0,0,53,53,635,54,54,54,54,54,54,0.63,629,697
71,89,31,0,0,0,0,,30,30,30,30,30,30,0.5,605,700
72,100,25,1,0,0,1,673,24,24,24,24,24,24,0.21,664,738
73,410,150,2,0,0,2,672,144,144,144,58,58,144,0.75,613,691
74,185,72,0,0,0,0,,72,72,72,47,47,72,0.6,594,700
75,1109,446,0,0,172,172,617,57,57,57,57,57,57,0.81,604,675
76,491,170,3,0,69,72,639,49,49,49,49,49,49,0.57,608,684
77,169,45,0,0,13,13,712,26,26,25,26,26,26,0.08,641,735
78,109,35,0,0,6,6,697,28,28,28,28,28,28,0.21,600,678
79,20,5,0,0,1,1,877,4,4,4,4,4,4,0.5,674,688
80,634,181,3,0,69,72,664,55,55,55,55,55,55,0.84,637,779
81,101,21,0,0,4,4,755,18,18,18,18,18,18,0.06,684,751
82,1008,285,2,0,87,89,695,55,55,55,55,55,55,0.35,646,718
83,315,63,0,0,10,10,722,43,43,43,43,43,43,0.21,705,757
84,203,39,0,0,17,17,764,22,22,22,22,22,22,0,0,773
85,1462,338,2,0,157,159,727,58,58,58,58,58,58,0.21,693,763
86,24,7,0,0,0,0,,7,7,7,7,7,7,0.14,648,705
87,95,29,0,0,0,0,,29,29,29,29,29,29,0.45,667,691
88,264,71,2,0,0,2,650,70,70,70,56,56,70,0.24,636,721
89,340,108,1,0,0,1,618,107,107,107,48,48,107,0.43,618,701
90,430,109,0,0,55,55,708,51,51,51,51,51,51,0.51,676,750
91,333,102,2,0,0,2,637,102,102,102,64,64,102,0.46,624,706
92,486,122,0,0,31,31,711,51,51,51,51,51,51,0.45,681,733
93,675,194,2,0,65,67,676,55,55,55,55,55,55,0.38,620,686
94,260,71,1,0,27,28,704,43,43,43,43,43,43,0.19,636,691
95,1282,406,4,0,177,181,656,48,48,48,48,48,48,0.56,647,695
96,27,7,0,0,5,5,733,2,2,2,2,2,2,1,695,0
97,564,226,0,0,90,90,613,50,50,50,50,50,50,0.62,569,660
98,1039,283,4,0,119,123,685,44,44,44,44,44,44,0.5,651,719
99,1291,447,1,0,108,109,643,54,54,54,54,54,54,0.54,636,687
100,725,250,0,0,75,75,644,57,57,57,57,57,57,0.51,633,694
