"YEAR","TRIP_ID","SET_ID","BECKET","TRAP","total_count"
2008,67007,1,1,1,19
2008,67007,1,2,2,14
2008,67007,1,3,3,16
2008,67007,1,4,4,16
2008,67007,1,5,5,13
2008,67007,1,6,6,10
2008,67007,1,7,7,18
2008,67007,1,8,8,3
2008,67007,1,9,9,8
2008,67007,1,10,10,11
2008,67007,1,11,11,2
2008,67007,1,12,12,14
2008,67007,1,13,13,10
2008,67007,1,14,14,5
2008,67007,1,15,15,7
2008,67007,1,16,16,8
2008,67007,1,17,17,4
2008,67007,1,18,18,3
2008,67007,1,19,19,17
2008,67007,1,20,20,5
2008,67007,1,21,21,4
2008,67007,1,22,22,6
2008,67007,1,23,23,7
2008,67007,1,24,24,1
2008,67007,1,25,25,9
2008,67007,2,1,1,
2008,67007,2,2,2,1
2008,67007,2,3,3,1
2008,67007,2,4,4,
2008,67007,2,5,5,
2008,67007,2,6,6,1
2008,67007,2,7,7,
2008,67007,2,8,8,
2008,67007,2,9,9,
2008,67007,2,10,10,
2008,67007,2,11,11,1
2008,67007,2,12,12,1
2008,67007,2,13,13,
2008,67007,2,14,14,
2008,67007,2,15,15,7
2008,67007,2,16,16,
2008,67007,2,17,17,3
2008,67007,2,18,18,
2008,67007,2,19,19,
2008,67007,2,20,20,3
2008,67007,2,21,21,
2008,67007,2,22,22,2
2008,67007,2,23,23,1
2008,67007,2,24,24,3
2008,67007,2,25,25,4
2008,67007,3,1,1,4
2008,67007,3,2,2,
2008,67007,3,3,3,7
2008,67007,3,4,4,5
2008,67007,3,5,5,8
2008,67007,3,6,6,7
2008,67007,3,7,7,7
2008,67007,3,8,8,3
2008,67007,3,9,9,4
2008,67007,3,10,10,9
2008,67007,3,11,11,1
2008,67007,3,12,12,7
2008,67007,3,13,13,8
2008,67007,3,14,14,7
2008,67007,3,15,15,4
2008,67007,3,16,16,3
2008,67007,3,17,17,6
2008,67007,3,18,18,7
2008,67007,3,19,19,5
2008,67007,3,20,20,5
2008,67007,3,21,21,5
2008,67007,3,22,22,7
2008,67007,3,23,23,4
2008,67007,3,24,24,17
2008,67007,3,25,25,9
2008,67007,4,1,1,7
2008,67007,4,2,2,8
2008,67007,4,3,3,14
2008,67007,4,4,4,
2008,67007,4,5,5,8
2008,67007,4,6,6,6
2008,67007,4,7,7,18
