"species_name","SET","morph_type","Len Sample Count","Sex Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen"
"ARROWTOOTH FLOUNDER",6,"FORK LENGTH",1,1,1,0,0,594,0
"ARROWTOOTH FLOUNDER",9,"FORK LENGTH",67,66,88,0.02,541,567,656
"ARROWTOOTH FLOUNDER",10,"FORK LENGTH",8,8,31,0,0,573,590
"ARROWTOOTH FLOUNDER",12,"FORK LENGTH",17,17,21,0,0,579,0
"ARROWTOOTH FLOUNDER",21,"FORK LENGTH",8,8,8,0,0,605,630
"ARROWTOOTH FLOUNDER",26,"FORK LENGTH",52,52,193,0,0,580,0
"ARROWTOOTH FLOUNDER",37,"FORK LENGTH",3,3,5,0,0,593,592
"ARROWTOOTH FLOUNDER",42,"FORK LENGTH",18,18,18,0,0,591,0
"ARROWTOOTH FLOUNDER",45,"FORK LENGTH",13,13,13,0.08,541,573,0
"ARROWTOOTH FLOUNDER",47,"FORK LENGTH",95,95,95,0,0,575,0
"ARROWTOOTH FLOUNDER",48,"FORK LENGTH",4,4,5,0,0,623,0
"ARROWTOOTH FLOUNDER",49,"FORK LENGTH",20,20,20,0,0,576,0
"ARROWTOOTH FLOUNDER",59,"FORK LENGTH",21,21,22,0,0,547,560
"ARROWTOOTH FLOUNDER",68,"FORK LENGTH",4,4,5,0,0,618,716
"ARROWTOOTH FLOUNDER",71,"FORK LENGTH",3,3,3,0.5,458,514,572
"ARROWTOOTH FLOUNDER",72,"FORK LENGTH",33,33,33,0.03,558,546,0
"ARROWTOOTH FLOUNDER",74,"FORK LENGTH",14,14,14,0,0,554,510
"ARROWTOOTH FLOUNDER",76,"FORK LENGTH",11,11,11,0.1,561,526,524
"ARROWTOOTH FLOUNDER",78,"FORK LENGTH",82,82,85,0,0,553,531
"ARROWTOOTH FLOUNDER",79,"FORK LENGTH",77,77,89,0.02,484,577,515
"ARROWTOOTH FLOUNDER",81,"FORK LENGTH",6,6,73,0,0,558,0
"ARROWTOOTH FLOUNDER",111,"FORK LENGTH",28,28,31,0,0,585,543
"ARROWTOOTH FLOUNDER",112,"FORK LENGTH",44,44,67,0,0,573,552
"DARKBLOTCHED ROCKFISH",42,"FORK LENGTH",1,1,1,0,0,410,0
"DOVER SOLE",14,"FORK LENGTH",1,1,1,0,0,498,0
"GREENSTRIPED ROCKFISH",45,"FORK LENGTH",2,2,2,0,0,331,0
"GREENSTRIPED ROCKFISH",47,"FORK LENGTH",1,1,1,0,0,347,0
"LONGSPINE THORNYHEAD",13,"FORK LENGTH",1,0,1,0,0,0,295
"PACIFIC FLATNOSE",2,"FORK LENGTH",5,5,5,1,488,0,0
"PACIFIC FLATNOSE",13,"FORK LENGTH",2,2,2,0.5,443,392,0
"PACIFIC FLATNOSE",16,"FORK LENGTH",3,3,3,0.33,489,483,0
"PACIFIC FLATNOSE",25,"FORK LENGTH",1,1,1,0,0,461,0
"PACIFIC FLATNOSE",38,"FORK LENGTH",2,2,2,1,472,0,0
"PACIFIC FLATNOSE",46,"FORK LENGTH",1,1,1,1,374,0,0
"PACIFIC FLATNOSE",65,"FORK LENGTH",1,1,1,1,485,0,0
"PACIFIC FLATNOSE",66,"FORK LENGTH",2,2,2,0.5,454,440,0
"PACIFIC FLATNOSE",69,"FORK LENGTH",1,1,1,1,375,0,0
"PACIFIC FLATNOSE",87,"FORK LENGTH",1,1,1,0,0,425,0
"PACIFIC FLATNOSE",101,"FORK LENGTH",1,1,1,0,0,382,0
"PACIFIC HALIBUT",28,"FORK LENGTH",1,1,2,1,698,0,0
"PACIFIC OCEAN PERCH",42,"FORK LENGTH",1,1,1,0,0,433,0
"PACIFIC OCEAN PERCH",72,"FORK LENGTH",1,1,1,1,440,0,0
"REDBANDED ROCKFISH",3,"FORK LENGTH",1,1,1,0,0,436,0
"REDBANDED ROCKFISH",12,"FORK LENGTH",5,5,6,0.6,448,480,0
"REDBANDED ROCKFISH",14,"FORK LENGTH",3,3,3,0.67,425,474,0
"REDBANDED ROCKFISH",15,"FORK LENGTH",1,1,1,1,350,0,0
"REDBANDED ROCKFISH",23,"FORK LENGTH",2,2,2,0,0,400,0
"REDBANDED ROCKFISH",26,"FORK LENGTH",4,4,4,0.5,469,494,0
"REDBANDED ROCKFISH",28,"FORK LENGTH",10,10,11,0.7,409,387,0
"REDBANDED ROCKFISH",35,"FORK LENGTH",15,15,15,0.6,477,493,0
"REDBANDED ROCKFISH",42,"FORK LENGTH",6,6,6,0.67,394,401,0
"REDBANDED ROCKFISH",45,"FORK LENGTH",15,15,15,0.6,463,485,0
"REDBANDED ROCKFISH",47,"FORK LENGTH",1,1,1,0,0,443,0
"REDBANDED ROCKFISH",48,"FORK LENGTH",8,8,7,0.5,383,368,0
"REDBANDED ROCKFISH",49,"FORK LENGTH",13,13,14,0.54,459,452,0
"REDBANDED ROCKFISH",59,"FORK LENGTH",5,5,5,0.8,494,422,0
"REDBANDED ROCKFISH",68,"FORK LENGTH",1,1,1,0,0,330,0
"REDBANDED ROCKFISH",72,"FORK LENGTH",3,3,3,0.33,360,399,0
"REDBANDED ROCKFISH",77,"FORK LENGTH",10,10,11,0.78,445,472,457
"REDBANDED ROCKFISH",78,"FORK LENGTH",4,4,4,0.75,438,478,0
"REDBANDED ROCKFISH",79,"FORK LENGTH",2,2,2,1,477,0,0
"REDBANDED ROCKFISH",81,"FORK LENGTH",5,5,6,0.2,465,451,0
"REDBANDED ROCKFISH",82,"FORK LENGTH",1,1,1,0,0,475,0
"REDBANDED ROCKFISH",83,"FORK LENGTH",22,22,18,0.55,448,528,0
"REDBANDED ROCKFISH",84,"FORK LENGTH",76,76,76,0.38,465,467,0
"REDBANDED ROCKFISH",88,"FORK LENGTH",2,2,2,0.5,476,499,0
"REDBANDED ROCKFISH",94,"FORK LENGTH",12,12,12,0.67,413,423,0
"REDBANDED ROCKFISH",95,"FORK LENGTH",1,1,1,1,361,0,0
"REDBANDED ROCKFISH",96,"FORK LENGTH",3,3,3,0,0,493,0
"REDBANDED ROCKFISH",103,"FORK LENGTH",2,2,1,0.5,385,391,0
"REDBANDED ROCKFISH",110,"FORK LENGTH",1,1,1,1,399,0,0
"REDBANDED ROCKFISH",111,"FORK LENGTH",3,3,3,0.67,511,551,0
"REDBANDED ROCKFISH",123,"FORK LENGTH",5,5,5,0.8,465,574,0
"REDBANDED ROCKFISH",124,"FORK LENGTH",2,2,2,0.5,541,384,0
"REDBANDED ROCKFISH",125,"FORK LENGTH",4,4,4,0.75,403,491,0
"ROSETHORN ROCKFISH",3,"FORK LENGTH",1,1,1,0,0,329,0
"ROSETHORN ROCKFISH",9,"FORK LENGTH",1,1,1,1,312,0,0
"ROSETHORN ROCKFISH",12,"FORK LENGTH",1,1,1,1,327,0,0
"ROSETHORN ROCKFISH",28,"FORK LENGTH",1,1,1,0,0,330,0
"ROSETHORN ROCKFISH",45,"FORK LENGTH",2,2,2,1,248,0,0
"ROSETHORN ROCKFISH",49,"FORK LENGTH",2,2,4,0.5,331,300,0
"ROSETHORN ROCKFISH",94,"FORK LENGTH",1,1,1,0,0,312,0
"ROSETHORN ROCKFISH",110,"FORK LENGTH",1,1,1,1,312,0,0
"ROSETHORN ROCKFISH",111,"FORK LENGTH",1,1,1,0,0,266,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",3,"FORK LENGTH",6,6,6,0.5,508,534,0
