"Year","lat","depth","temperature","Sets"
2008,53,978.6,3.4,119
2008,48,1335.3,2.7,2
2008,48,355.6,6.6,22
2008,51,1093.2,3,69
2008,50,1159.9,2.9,46
2008,51,1278.1,2.6,66
2008,50,267.4,6.4,49
2008,51,663.3,4.1,75
2008,53,265.1,5.9,125
2008,51,772.7,3.7,53
2008,49,529,5.4,32
2008,53,1276.2,2.8,122
2008,49,809.1,4.1,29
2008,51,279.6,6.2,59
2008,53,737.5,4,106
2008,48,1017,3.5,18
2008,48,246.9,7,12
2008,51,1005,3.1,56
2008,49,305,6.7,35
2008,50,1164.6,3,36
2008,51,655.5,4,85
2008,54,405.8,5.1,129
2008,48,462.1,5.8,15
2008,52,632.8,4.1,89
2008,52,466.4,4.8,95
2008,53,622.1,4.3,109
2008,50,685.4,4.4,39
2008,53,462.5,4.9,112
2008,52,1044.6,2.9,86
2008,52,914.2,3.5,92
2008,48,1069.9,3.4,19
2008,49,261.2,7,28
2008,51,391.4,5.4,55
2008,50,482.2,5.4,43
2008,49,1314.8,2.7,25
2008,52,865.1,3.6,90
2008,51,882.8,3.4,52
2008,49,809.2,3.9,31
2008,48,1374.4,2.6,16
2008,53,919,3.5,108
2008,53,1074.2,3.2,102
2008,48,1269.5,2.9,13
2008,51,264.9,5.6,78
2008,50,1016.9,3.2,40
2008,52,651.9,4.1,93
2008,51,222.6,6,84
2008,52,199.9,6.2,96
2008,49,1261.4,2.7,38
2008,48,637.4,4.9,6
2008,51,1214.6,2.7,65
2008,50,1034.6,3.1,50
2008,52,414.9,4.8,80
2008,51,850.4,3.6,62
2008,48,304,6.7,3
2008,53,533.2,4.7,115
2008,53,1010.2,3.3,121
2008,51,851.4,3.5,71
2008,51,399.7,5.5,68
2008,54,397.4,5,130
2008,54,1014.7,3.3,133
2008,53,229.6,6.2,124
2008,53,1180,2.9,101
2008,51,689,4.2,74
2008,48,682.1,4.6,1
2008,48,1122.6,3.3,7
2008,52,955,3.3,87
2008,49,524.9,5.2,37
2008,49,749.4,4.2,34
2008,51,1098.1,2.9,58
2008,53,608.6,4.4,114
2008,50,725.2,4.1,44
2008,48,662.7,4.8,20
2008,51,613.4,4.3,61
2008,53,462,4.9,111
2008,54,1201.9,2.8,134
2008,50,845.4,3.7,41
2008,53,540.7,4.5,117
2008,51,386.8,5.6,64
2008,49,503.4,5.6,24
2008,52,235,5.7,94
2008,50,205.1,6.6,47
2008,51,282.9,5.8,83
2008,48,508.5,5.7,10
2008,53,948.2,3.6,104
2008,48,663.6,4.8,4
2008,51,207.8,6.1,77
2008,53,910.4,3.5,113
2008,52,822.6,3.7,98
2008,53,516.6,4.6,107
2008,53,613.9,4.4,116
2008,53,315.2,5.6,110
2008,49,295.8,6.9,26
2008,48,951.9,3.7,8
