"Year","trip","Sets","Avgtemp","Mintemp","Maxtemp","depth_stratum","lat"
2007,65106,4,6.4148,6.2982,6.5196,"RD1       ",48
2006,62666,93,3.8143,3.6956,3.9726,"RD2       ",52
2006,62666,43,4.43,4.2008,4.5898,"RD2       ",50
2008,67007,19,3.3887,3.2962,3.4672,"RD3       ",48
2009,69067,45,7.0853,7.002,7.1312,"RD1       ",50
2009,69067,120,2.9375,2.853,3.0096,"RD3       ",53
2006,62666,33,4.5966,4.2369,5.0199,"RD2       ",50
2009,69067,51,7.1093,7.0527,7.1733,"RD1       ",50
2007,65106,2,3.3531,3.2982,3.368,"RD3       ",48
2007,65106,20,6.0234,5.8202,6.3544,"RD1       ",49
2009,69067,57,6.9448,6.8609,7.0091,"RD1       ",51
2006,62666,34,3.5014,3.3198,3.6019,"RD3       ",50
2006,62666,55,5.8564,5.6547,6.0596,"RD1       ",51
2006,62666,6,5.5717,5.3158,5.8554,"RD2       ",48
2008,67007,101,2.9302,2.8549,2.997,"RD3       ",53
2008,67007,117,4.5268,4.315,4.795,"RD2       ",53
2008,67007,45,6.8021,6.6781,6.8505,"RD1       ",50
2007,65106,17,4.5098,4.3663,4.802,"RD2       ",49
2006,62666,25,2.893,2.7147,2.9654,"RD3       ",49
2006,62666,36,6.9126,6.8514,6.9996,"RD1       ",50
2009,69067,76,4.1747,3.9297,4.3446,"RD2       ",51
2007,65106,57,4.3505,3.8611,5.3531,"RD2       ",51
2009,69067,15,2.7199,2.6473,2.7462,"RD3       ",48
2006,62666,13,4.0307,3.8978,4.1978,"RD3       ",48
2008,67007,31,3.8997,3.774,4.1254,"RD3       ",49
2007,65106,69,4.0889,3.7928,4.5201,"RD2       ",52
2006,62666,52,4.2747,3.9363,4.5897,"RD2       ",51
2007,65106,90,4.8697,4.6382,5.0938,"RD1       ",53
2008,67007,61,4.2814,3.9123,4.4755,"RD2       ",51
2007,65106,1,5.6245,5.4961,5.7733,"RD1       ",48
2007,65106,60,5.7865,5.7092,5.8763,"RD1       ",51
2008,67007,34,4.1706,3.9482,4.2729,"RD2       ",49
2008,67007,64,5.6472,5.2088,5.9528,"RD1       ",51
2009,69067,33,4.3638,3.9685,4.6731,"RD2       ",49
2008,67007,15,5.7777,5.4839,6.0342,"RD2       ",48
2008,67007,21,5.8418,5.5847,6.3489,"RD1       ",48
2007,65106,72,3.9047,3.7115,4.1315,"RD2       ",52
2007,65106,45,4.1151,3.8407,4.3519,"RD2       ",50
2008,67007,37,5.1928,4.9489,5.5463,"RD2       ",49
2006,62666,67,3.803,3.6493,3.9416,"RD2       ",52
2008,67007,12,6.9853,6.9286,7.0317,"RD1       ",48
2008,67007,46,2.8846,2.7878,2.9756,"RD3       ",50
2009,69067,110,3.2565,3.1484,3.4438,"RD3       ",53
2006,62666,30,4.2035,3.9405,4.3189,"RD2       ",49
2009,69067,18,5.6387,5.4587,5.8152,"RD1       ",48
2008,67007,25,2.7379,2.6684,2.8108,"RD3       ",49
2006,62666,65,3.0098,2.9323,3.137,"RD3       ",52
2007,65106,44,4.383,4.05,4.7169,"RD2       ",50
2009,69067,83,4.5126,4.1025,5.0403,"RD2       ",52
2006,62666,68,3.8064,3.5888,4.0532,"RD2       ",52
2009,69067,29,4.4593,4.2971,4.6067,"RD2       ",49
2007,65106,78,4.4237,4.1884,4.6676,"RD2       ",52
2007,65106,99,3.259,3.1129,3.4666,"RD3       ",54
2009,69067,99,3.1204,2.9948,3.2409,"RD3       ",52
2008,67007,11,5.6577,5.3827,5.9711,"RD2       ",48
2007,65106,82,4.2114,4.0013,4.4508,"RD2       ",53
2009,69067,36,3.8237,3.6462,3.9852,"RD2       ",50
2007,65106,68,4.1039,3.719,4.4091,"RD2       ",52
2006,62666,27,4.5491,4.3214,4.8106,"RD2       ",49
2006,62666,71,4.7943,4.4678,5.1887,"RD1       ",52
2006,62666,10,5.5147,5.3749,5.8456,"RD2       ",48
2009,69067,122,5.4879,5.2432,5.6502,"RD1       ",53
2008,67007,84,6.0093,5.8149,6.1792,"RD1       ",51
2009,69067,37,3.5633,3.3456,3.7208,"RD3       ",50
2007,65106,81,4.6205,4.4008,4.9708,"RD1       ",53
2007,65106,35,3.0552,2.9634,3.1605,"RD3       ",50
2009,69067,119,4.4307,4.2358,4.6752,"RD2       ",53
2009,69067,12,5.9512,5.6096,6.3533,"RD1       ",48
2009,69067,66,4.0267,3.9063,4.189,"RD2       ",51
2007,65106,75,3.4206,3.2916,3.5407,"RD3       ",52
2009,69067,63,3.2524,3.0873,3.3534,"RD3       ",51
2006,62666,48,4.5169,4.1506,4.8317,"RD2       ",51
2008,67007,48,5.7756,5.3897,6.5156,"RD1       ",50
2008,67007,111,4.897,4.696,5.1481,"RD1       ",53
2008,67007,62,3.5973,3.3857,3.7879,"RD3       ",51
2007,65106,58,2.7968,2.584,2.9741,"RD3       ",51
2007,65106,18,3.4335,3.3167,3.5954,"RD3       ",49
2007,65106,91,6.1692,6.0532,6.2656,"RD1       ",53
2008,67007,56,3.1367,3.0026,3.2882,"RD3       ",51
2008,67007,98,3.74,3.551,3.9566,"RD2       ",52
2009,69067,86,3.9429,3.6678,4.2049,"RD2       ",52
2008,67007,94,5.6887,5.3067,6.2411,"RD1       ",52
2007,65106,95,4.7436,4.4672,5.0361,"RD1       ",54
2008,67007,65,2.7215,2.4207,3.1062,"RD3       ",51
2008,67007,38,2.6906,2.566,2.7686,"RD3       ",49
2008,67007,135,4.4568,4.2868,4.5948,"RD2       ",54
2007,65106,28,6.358,6.0067,6.5633,"RD1       ",50
2008,67007,92,3.508,3.264,3.8217,"RD3       ",52
2007,65106,47,6.4945,5.9529,6.7466,"RD1       ",51
2009,69067,82,4.9661,4.5285,5.8389,"RD1       ",52
2007,65106,96,5.5296,5.3102,5.635,"RD1       ",54
2007,65106,65,5.4604,4.8795,5.8448,"RD1       ",52
2006,62666,64,3.8081,3.5285,4.0365,"RD2       ",52
2008,67007,39,4.3591,4.2313,4.5245,"RD2       ",50
2008,67007,95,4.8124,4.6209,5.0647,"RD2       ",52
2009,69067,102,3.06,2.915,3.2564,"RD3       ",52
2006,62666,96,6.2898,6.1785,6.5274,"RD1       ",52
2009,69067,95,3.7679,3.6994,4.074,"RD3       ",52
2009,69067,58,6.9133,6.8628,7.0734,"RD1       ",50
2006,62666,79,4.3052,4.1273,4.572,"RD2       ",53
2008,67007,108,3.5441,3.4325,3.7579,"RD3       ",53
2009,69067,27,4.2014,4.131,4.3161,"RD2       ",49
2009,69067,70,6.2977,5.458,6.5085,"RD1       ",51
2006,62666,58,5.985,5.8938,6.0564,"RD1       ",51
2009,69067,11,5.6337,5.364,5.8552,"RD1       ",48
2008,67007,36,3.0315,2.9274,3.1526,"RD3       ",50
2009,69067,2,4.4876,4.3108,4.7227,"RD2       ",48
2009,69067,61,4.0164,3.7846,4.3004,"RD3       ",51
