"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.53,0.47,606,683,625
"S1","RD2       ",0.82,0.18,586,639,607
"S1","RD3       ",0.15,0.85,592,677,638
"S2","RD1       ",0.42,0.58,641,719,682
"S2","RD2       ",0.69,0.31,588,668,599
"S2","RD3       ",0.27,0.73,619,708,658
"S3","RD1       ",0.42,0.58,622,693,659
"S3","RD2       ",0.72,0.28,588,672,605
"S3","RD3       ",0.31,0.69,590,711,629
"S4","RD1       ",0.21,0.79,660,733,708
"S4","RD2       ",0.52,0.48,635,722,674
"S4","RD3       ",0.52,0.48,636,710,655
"S5","RD1       ",0.28,0.72,640,732,691
"S5","RD2       ",0.56,0.44,597,674,633
"S5","RD3       ",0.4,0.6,634,742,666
